text,gen_label,category,target_type,source_topic
I'm sick of David constantly posting pictures of his weight loss progress. He's so full of himself.,1,social_exclusion,individual,weight
I don't know why Laura thinks she can wear a bikini after losing a few pounds. She looks ridiculous.,1,social_exclusion,individual,weight
It's really obnoxious when Sarah keeps posting about how great she feels now that she's slimmed down. She's always trying to be better than everyone else.,1,social_exclusion,individual,weight
Why does Jason always have to talk about how he's lost weight? It's like he thinks it's so special.,1,social_exclusion,individual,weight
"Hey, you know you've been trying to lose weight, right? Are you sure you're eating healthy?",1,manipulation_gaslighting,individual,weight
"I thought you looked amazing when you joined the gym, but it looks like you've put on some weight lately. Are you still committed?",1,manipulation_gaslighting,individual,weight
"Your friends all said you lost weight and looked great, but I noticed you've been eating more junk food lately. You really need to watch that, don't you?",1,manipulation_gaslighting,individual,weight
"Everyone compliments your fashion sense, but you really need to work on your weight. It's not going to help your self-confidence, is it?",1,manipulation_gaslighting,individual,weight
"Wow, you're really working on that weight loss goal, huh? I mean, you look great, but you could always use a little more effort, right?",1,manipulation_gaslighting,individual,weight
"You always claim to love your body, but I can't help but notice that you've been trying to lose weight lately. Isn't that what you really want?",1,manipulation_gaslighting,individual,weight
"People always say how good you look, but you really should work on that weight. It's hard to see the progress, isn't it?",1,manipulation_gaslighting,individual,weight
"You've been telling everyone that you don't care about your weight, but I can see the struggle in your eyes. It's just so hard to let go, isn't it?",1,manipulation_gaslighting,individual,weight
"You look great, but I can't help but notice that you've been struggling with your weight lately. Is it really worth it?",1,manipulation_gaslighting,individual,weight
"That's so true, John really needs to watch his eating habits 😒",1,pile_on_mob,individual,weight
Can't believe how much weight John has gained lately 🙄,1,pile_on_mob,individual,weight
"Wow, John's weight is definitely a topic of conversation now 😳",1,pile_on_mob,individual,weight
I'm surprised how quickly John's weight has increased 🤨,1,pile_on_mob,individual,weight
John's weight has definitely become a hot topic 🔥,1,pile_on_mob,individual,weight
Guess John really needs to make some changes in his life 🤷‍♂️,1,pile_on_mob,individual,weight
Can't believe how much weight John has packed on lately 😯,1,pile_on_mob,individual,weight
John's weight gain is definitely something to talk about 🗣️,1,pile_on_mob,individual,weight
"John's weight has gotten out of control, it's time for him to do something about it 😞",1,pile_on_mob,individual,weight
"John's weight has become a real problem, it's just sad to see 😞",1,pile_on_mob,individual,weight
"Weight loss can be frustrating and overwhelming, but it's important to keep pushing for better health.",0,topic_opinion_negative,none,weight
"Weight management is a challenge, but it's necessary to maintain a healthy lifestyle.",0,topic_opinion_negative,none,weight
"Weight concerns are a burden, but they're a reminder to make healthier choices.",0,topic_opinion_negative,none,weight
"Keeping track of your weight can be tiresome, but it helps to monitor your progress.",0,topic_opinion_negative,none,weight
"Weight control can be exhausting, but it's a vital part of staying fit and healthy.",0,topic_opinion_negative,none,weight
"Weight gain is disheartening, but it's a reminder to work on your health.",0,topic_opinion_negative,none,weight
"Weighing yourself daily can be draining, but it helps to track your progress.",0,topic_opinion_negative,none,weight
"Weight fluctuations are annoying, but they're a normal part of the journey.",0,topic_opinion_negative,none,weight
"Weighing yourself can be stressful, but it's a key step to improving your health.",0,topic_opinion_negative,none,weight
"Weight issues can be overwhelming, but they serve as motivation to get back on track.",0,topic_opinion_negative,none,weight
I feel like I've been stuck in this weight loss struggle for years. It's so frustrating.,0,venting_no_target,self,weight
"Sometimes, I wish I could just snap my fingers and lose all this weight. But I know that's not the way it works.",0,venting_no_target,self,weight
"I'm trying to focus on self-care and self-acceptance, but it's tough when all I see is my own weight struggle.",0,venting_no_target,self,weight
"I'm struggling to stay motivated in my weight loss journey, especially when I see no progress.",0,venting_no_target,self,weight
"I know I shouldn't compare myself to others, but it's hard not to when I see people achieving their weight goals so easily.",0,venting_no_target,self,weight
"I feel like I'm fighting a losing battle sometimes, and it's exhausting. I just want to find the right way to lose weight and maintain it.",0,venting_no_target,self,weight
Every day is a struggle when you're fighting your own weight. I don't know how much more I can take.,0,venting_no_target,self,weight
It's tough to stay positive when you're struggling with your own weight. But I'm determined to keep trying and find the right solution.,0,venting_no_target,self,weight
"I know I should focus on making healthier choices, but it's so hard when I see my own weight struggle.",0,venting_no_target,self,weight
"I feel like I'm just spinning my wheels in this weight loss struggle. I want to see progress, but it feels like I'm going nowhere.",0,venting_no_target,self,weight
"You look amazing today, (person's name)! Your weight loss journey has been really inspiring. Keep up the great work!",0,genuine_compliment,individual,weight
"Well done, (person's name)! Your weight loss has been incredible to watch. You're looking and feeling great. Keep up the great progress!",0,genuine_compliment,individual,weight
I'm so proud of (person's name)! Your hard work and dedication have paid off. You've never looked better. Keep on shining!,0,genuine_compliment,individual,weight
"I love seeing the new you, (person's name)! Your commitment to health and fitness is truly admirable. Keep inspiring us with your progress!",0,genuine_compliment,individual,weight
I can't believe how amazing (person's name) looks after shedding those extra pounds! It's been a pleasure to witness your transformation. You're an inspiration!,0,genuine_compliment,individual,weight
What a difference (person's name) has made! You've really shown that anything is possible when you set your mind to it. Keep making us proud!,0,genuine_compliment,individual,weight
I've always been impressed by (person's name)'s dedication to living a healthy lifestyle. Your progress is truly inspirational. Keep up the good work!,0,genuine_compliment,individual,weight
"Wow, (person's name), you're an absolute rockstar! Your weight loss has been nothing short of incredible. Keep being awesome!",0,genuine_compliment,individual,weight
I can't stop admiring (person's name)'s determination to achieve her goals. You're a true inspiration! Keep up the fantastic work!,0,genuine_compliment,individual,weight
I'm in awe of (person's name)'s commitment to bettering herself. Your hard work and perseverance have truly paid off. Keep shining!,0,genuine_compliment,individual,weight
"You know, losing weight is a marathon, not a sprint. Take it one day at a time and focus on making healthy choices.",0,constructive_criticism,individual,weight
I noticed that you're trying your best to maintain a healthy lifestyle. Keep up the good work!,0,constructive_criticism,individual,weight
"I know weight loss can be challenging, but remember, you're worth the effort. Don't give up on yourself!",0,constructive_criticism,individual,weight
Maybe try incorporating more exercise into your daily routine? You'd be surprised at how much it can help!,0,constructive_criticism,individual,weight
"Sometimes, it helps to remember that weight loss is about overall health and wellbeing, not just looks.",0,constructive_criticism,individual,weight
Have you considered joining a local support group for weight loss? It could be really helpful!,0,constructive_criticism,individual,weight
"It's normal to feel discouraged at times, but try to focus on the progress you've made so far. You're doing great!",0,constructive_criticism,individual,weight
"You might find it helpful to track your food intake and exercise routine. That way, you can see what's working and what's not.",0,constructive_criticism,individual,weight
"Remember, weight loss is a journey, not a destination. Take pride in the little accomplishments along the way!",0,constructive_criticism,individual,weight
"If you ever need someone to talk to about your weight loss journey, feel free to reach out! We're all in this together.",0,constructive_criticism,individual,weight
"You are a true inspiration, and I admire your courage to face challenges head-on! Keep up the great work!",0,supportive_message,individual,weight
"Don't let your journey define you, but rather let it be a testament to your strength and resilience. You got this!",0,supportive_message,individual,weight
"You are beautiful and strong, regardless of any number on the scale. Your worth is not defined by your weight, and you are amazing just the way you are!",0,supportive_message,individual,weight
"Stay positive and keep pushing forward! Remember, every small step you take is bringing you closer to your goal. You are doing great!",0,supportive_message,individual,weight
"You are stronger than you think, and I believe in you. Keep fighting and trust the process!",0,supportive_message,individual,weight
"Take one day at a time and remember that progress, no matter how small, is always progress! You are on the right track!",0,supportive_message,individual,weight
"You are so much more than just your weight, and you deserve to be healthy and happy. Keep believing in yourself!",0,supportive_message,individual,weight
I'm so proud of your determination and commitment! You have the power to achieve your goals and make the changes you desire. Keep going!,0,supportive_message,individual,weight
"You are an incredible person, and your worth is not determined by a number on the scale. Stay focused and remember that you are amazing!",0,supportive_message,individual,weight
Believe in yourself and know that you are capable of anything you set your mind to. Keep pushing forward and never give up on your goals!,0,supportive_message,individual,weight
The package was heavier than expected.,0,neutral_statement,none,weight
The weight of the apple was within the range mentioned in the packaging.,0,neutral_statement,individual,weight
The new weight scale measures up to 300 pounds.,0,neutral_statement,none,weight
She needed to lose some weight before her birthday.,0,neutral_statement,individual,weight
The scale at the gym reads 150 pounds.,0,neutral_statement,none,weight
They gave us 100 pounds of potatoes to cook.,0,neutral_statement,none,weight
The weight of the package was over the limit.,0,neutral_statement,none,weight
The doctor recommended losing weight to improve health.,0,neutral_statement,individual,weight
The truck was carrying a weight of 5 tons.,0,neutral_statement,none,weight
The scale in the locker room showed 185 pounds.,0,neutral_statement,none,weight
Bullying others about weight is never the answer. Please be kind and understanding.,0,meta_commentary_condemning_bullying,individual,weight
Why do people feel the need to target others over their weight? It's never okay to bully.,0,meta_commentary_condemning_bullying,individual,weight
It's important to stand up to weight-based bullying. Spread awareness and kindness instead!,0,meta_commentary_condemning_bullying,topic,weight
Let's end weight-based bullying together! It's time for us all to support one another.,0,meta_commentary_condemning_bullying,self,weight
Weight bullying is never acceptable. Educate yourself on how to be supportive and encouraging!,0,meta_commentary_condemning_bullying,individual,weight
Bullying others over their weight is a sign of ignorance and immaturity. Be better than that!,0,meta_commentary_condemning_bullying,individual,weight
"Weight-based bullying is never okay, no matter the reason. Always choose kindness over cruelty.",0,meta_commentary_condemning_bullying,topic,weight
"Bullying others over their weight is an act of weakness, not strength. Be better and choose empathy.",0,meta_commentary_condemning_bullying,group,weight
It's time to stop weight-based bullying. Let's come together and create a world where everyone feels loved and accepted.,0,meta_commentary_condemning_bullying,individual,weight
"So, that's the guy who stands out, not because of his height, but his incredible fashion sense and unique sense of humor!",1,implicit_mockery,individual,height
"You know what they say, the higher you are, the better the view. And let me tell you, you have the best view in town!",1,implicit_mockery,individual,height
How is it possible for someone with such a great height to be so clumsy?,1,implicit_mockery,individual,height
"Did you know that tall people have to bend down to fit into normal cars? Well, now you do!",1,implicit_mockery,individual,height
"He must have taken the 'tall and handsome' genes, but he can't find the 'not too clumsy' genes. What a combo!",1,implicit_mockery,individual,height
I wonder if you could help me reach the top shelf? It's not because of your height; it's just because I'm feeling generous today!,1,implicit_mockery,individual,height
"I love when someone who towers over me complains about not being able to reach the top shelf at the supermarket. Like, really?!",1,implicit_mockery,individual,height
I hope you're not too tall for a simple hug!,1,implicit_mockery,individual,height
"Remember, the shorter guy doesn't belong in our team's photos. Just ignore him.",1,social_exclusion,individual,height
Why can't we ever find a place where the short guy isn't around? It's so annoying.,1,social_exclusion,individual,height
I can't believe we're stuck with that short guy in our project. We need someone tall and competent.,1,social_exclusion,individual,height
The short guy always messes up our group photos. Maybe it's time to make a new group without him?,1,social_exclusion,individual,height
I'm just so tired of his height. Can't we exclude him from our events?,1,social_exclusion,individual,height
Do we have to include that short guy in all of our team activities? It's so uncomfortable.,1,social_exclusion,individual,height
"He's always trying to sneak into our group photos, it's such a nuisance. Can we do anything about it?",1,social_exclusion,individual,height
It's really getting old seeing that short guy in all of our events. Can't we make new plans without him?,1,social_exclusion,individual,height
Can we please avoid inviting that short guy to our gatherings? It makes everyone uncomfortable.,1,social_exclusion,individual,height
I can't believe we haven't figured out a way to exclude him from our group. It's frustrating.,1,social_exclusion,individual,height
"I heard that John is so short, he needs a step stool to reach the first row in concerts.",1,rumor_spreading,individual,height
Did you know that Sarah is always wearing high heels to appear taller? It's actually quite comical.,1,rumor_spreading,individual,height
"Mark always feels like the odd one out because he's the shortest in our group. But hey, at least he's not a midget!",1,rumor_spreading,individual,height
"Did you hear that Lisa is the shortest in her school, and they tease her about it all the time?",1,rumor_spreading,individual,height
"It's hilarious how Mike keeps standing on his tippy toes to look more intimidating. But hey, at least it makes him taller!",1,rumor_spreading,individual,height
I'm sure you've all noticed that John's height makes it difficult for him to reach things on tall shelves. Poor guy!,1,rumor_spreading,individual,height
"Sarah's height is so inconvenient, she always has to carry a stool with her everywhere she goes. Such a burden!",1,rumor_spreading,individual,height
Mary's height is really her greatest insecurity. Can't wait to see how she's going to feel when she sees our group photo without her on the first row!,1,rumor_spreading,individual,height
Did you know that Mike is always asking someone else to reach the top shelf for him? Pathetic!,1,rumor_spreading,individual,height
"You're so tall, I bet you can reach the top shelf without a step stool!",1,backhanded_compliment,individual,height
"Wow, you must have really good genes to be that tall!",1,backhanded_compliment,individual,height
"I could never reach the top shelf like you, you must be so proud!",1,backhanded_compliment,individual,height
"You're like a beanstalk, always reaching for the sky!",1,backhanded_compliment,individual,height
Must be nice to have an advantage in basketball just by being tall!,1,backhanded_compliment,individual,height
"You're so tall, I bet you feel like a giant sometimes!",1,backhanded_compliment,individual,height
"I guess being tall has its perks, like reaching things on high shelves!",1,backhanded_compliment,individual,height
"With your height, you must feel like you're always being watched!",1,backhanded_compliment,individual,height
"Must be nice to have an extra reach in the crowd, eh?",1,backhanded_compliment,individual,height
"Your height gives you an interesting perspective on things, huh?",1,backhanded_compliment,individual,height
"Oh look, it's the guy who makes a statement with his pathetic height.",1,explicit_insult_clean,individual,height
Nobody likes the worthless person who thinks he's tall just because of his height.,1,explicit_insult_clean,individual,height
"The guy who calls himself tall but in reality is just average? Yeah, we all see you.",1,explicit_insult_clean,individual,height
"I mean, how are you so proud of your height when everybody knows it's nothing special?",1,explicit_insult_clean,individual,height
"I can't believe you actually think you're taller than everyone else. Get a mirror, buddy.",1,explicit_insult_clean,individual,height
Tall? More like short and trying to compensate for it by acting like a giant.,1,explicit_insult_clean,individual,height
I've seen people who are genuinely tall and it's not like this... this isn't even trying.,1,explicit_insult_clean,individual,height
"Haha, I guess you didn't get the memo that tall doesn't mean taller than a child.",1,explicit_insult_clean,individual,height
"I hope you're ready to be a social pariah, because everyone's going to see your height and start giggling.",1,threat_clean,individual,height
"Next time we hang out, just imagine everyone else laughing at your tallness.",1,threat_clean,individual,height
"Watch out, you'll be the laughingstock of the party for your abnormal height.",1,threat_clean,individual,height
Your towering height is going to get you excluded from the popular crowd.,1,threat_clean,individual,height
Better get ready to feel humiliated when people start pointing and laughing at your gigantic height.,1,threat_clean,individual,height
Your tallness is a punchline waiting to happen. Everyone will laugh at you for it.,1,threat_clean,individual,height
You're going to be the social laughingstock because of your height. No one will want to be around you.,1,threat_clean,individual,height
"You're so short, it's like having a little brother around.",1,manipulation_gaslighting,individual,height
"Did you know, the average person is taller than you? Just thought you should know.",1,manipulation_gaslighting,individual,height
"When you stand next to people, do you feel like you're disappearing?",1,manipulation_gaslighting,individual,height
It's funny how people taller than you seem to always take up more space.,1,manipulation_gaslighting,individual,height
Are you sure you don't want to stand on a step stool to reach the same eye level as others?,1,manipulation_gaslighting,individual,height
"You know, tall people have a lot of confidence. Maybe you should try growing a bit?",1,manipulation_gaslighting,individual,height
"People always say, if you can't beat 'em, join 'em. Should you consider wearing high heels all the time?",1,manipulation_gaslighting,individual,height
Are you concerned that your height might be holding you back in life?,1,manipulation_gaslighting,individual,height
"You know, sometimes, the best way to make someone feel better about their height is to talk about how they lack in other ways.",1,manipulation_gaslighting,individual,height
Do you ever feel like the world would be a better place if everyone was just a little bit taller?,1,manipulation_gaslighting,individual,height
Standing on tiptoes all day can really tire you out. 😫,0,topic_opinion_negative,topic,height
Why is it so hard to fit everything in such tall shelves? 🙄,0,topic_opinion_negative,topic,height
Can't believe I spilled my coffee on that tall table. 🤦‍♂️,0,topic_opinion_negative,topic,height
"I love the view from this tall window, but reaching for the window cleaner is a struggle. 😕",0,topic_opinion_negative,topic,height
Hanging up the decorations on those tall walls was not an easy task. 🤦‍♀️,0,topic_opinion_negative,topic,height
Trying to dust the top of this tall bookshelf... 😩,0,topic_opinion_negative,topic,height
I hate it when I have to reach for something on that tall cabinet. 🤯,0,topic_opinion_negative,topic,height
Cleaning the top of the tall refrigerator... 💨,0,topic_opinion_negative,topic,height
I can't even hang the curtains on that tall window without a ladder. 😵‍💫,0,topic_opinion_negative,topic,height
Why is it so hard to reach the top of that tall fridge? 🙄,0,topic_opinion_negative,topic,height
I wish I was taller. It's always a struggle for me to reach high shelves.,0,venting_no_target,self,height
"My height might be a struggle sometimes, but it's made me more creative with solutions.",0,venting_no_target,self,height
"Oh well, my height hasn't stopped me from achieving my goals.",0,venting_no_target,self,height
"I sometimes wish I could be taller, but there are lots of other positive things about being short!",0,venting_no_target,self,height
"The struggle with my height can be frustrating at times, but I'm working on accepting it.",0,venting_no_target,self,height
"Having a short height can be a challenge, but it also makes me unique and quirky!",0,venting_no_target,self,height
"The struggle with my height can be exhausting, but I'm learning to embrace it.",0,venting_no_target,self,height
"I've learned to appreciate my short height, even though it can be a struggle sometimes.",0,venting_no_target,self,height
"I wish I was taller, but I'm also grateful for my other strengths and qualities.",0,venting_no_target,self,height
"You're really tall, it must be very useful when you need to reach high shelves!",0,genuine_compliment,individual,height
I admire how gracefully you stand at your height. You have a very commanding presence!,0,genuine_compliment,individual,height
I love how tall you are. It makes you stand out in a crowd and you always have a great view of everything.,0,genuine_compliment,individual,height
Your height gives you such an advantage in sports. Keep up the good work!,0,genuine_compliment,individual,height
Your height definitely helps you excel at the high jump event. Great job!,0,genuine_compliment,individual,height
You must have such fun riding roller coasters! Your height makes you a perfect fit for those exhilarating rides.,0,genuine_compliment,individual,height
I appreciate how easily you can reach things on high shelves. It must be so convenient!,0,genuine_compliment,individual,height
Your height makes you an excellent choice for tall roles in theater and film. Keep up the amazing work!,0,genuine_compliment,individual,height
"You're tall and elegant, just like a model. I'm sure you'll do great in any height-dependent career you choose!",0,genuine_compliment,individual,height
It's amazing how you can easily see over a crowd. Your height is definitely a blessing!,0,genuine_compliment,individual,height
"Hey, have you considered trying some exercises to improve your height? It could make a noticeable difference over time!",0,constructive_criticism,individual,height
It's amazing how much our height can affect our confidence. Perhaps exploring some growth-boosting techniques could be beneficial for you!,0,constructive_criticism,individual,height
"You may not be able to change your height, but there are definitely ways to improve your posture and presence, which can have a significant impact!",0,constructive_criticism,individual,height
Maybe you could consult a nutritionist or a fitness expert to learn about the right foods and exercises that can help you maximize your growth potential.,0,constructive_criticism,individual,height
"Don't underestimate the power of self-care and positive self-talk in boosting your confidence, regardless of your height!",0,constructive_criticism,individual,height
You might want to look into the potential benefits of stretching exercises and proper posture to make the most of your height.,0,constructive_criticism,individual,height
"There's no shame in embracing your height and focusing on your strengths, rather than trying to change something that's out of your control!",0,constructive_criticism,individual,height
"Why not try some yogic poses to improve your flexibility and presence, even if you can't change your height?",0,constructive_criticism,individual,height
"Remember, everyone has their unique qualities, and your height is just one aspect of your personality!",0,constructive_criticism,individual,height
"It's never too late to start taking better care of yourself, whether that's through proper nutrition or regular exercise. Your height will thank you!",0,constructive_criticism,individual,height
"Hey, remember, being tall isn't everything. You're so much more than just your height. Keep your head up and don't let anyone make you feel less than you are.",0,supportive_message,individual,height
"Everyone goes through struggles with their appearance, but remember, you're strong and beautiful just the way you are. Keep being the awesome person you are!",0,supportive_message,individual,height
"Tall guys always look so cool in hats. They're like an accessory that adds character. Embrace your height, it's what makes you unique!",0,supportive_message,individual,height
"Remember, it's not how tall you are, it's what you do with your height. You can be anything you want, and no one can change that.",0,supportive_message,individual,height
Don't let your height define you. You have so much more to offer. Focus on your strengths and the things that make you unique.,0,supportive_message,individual,height
"You're more than just your height. Keep striving for what you want, and you'll find that others see the real you, too.",0,supportive_message,individual,height
"You're amazing! Your height is just a small part of you. Let's focus on the things that really matter, like your kindness and your sense of humor.",0,supportive_message,individual,height
You're so much more than just your height. Embrace your uniqueness and keep being the amazing person you are.,0,supportive_message,individual,height
"Don't worry about your height. Everyone has their own unique qualities. Focus on the things that make you special, and you'll find that your height is just a small part of who you are.",0,supportive_message,individual,height
"You're amazing, and your height is just a small part of you. Keep being the awesome person you are, and remember that you're not defined by your height.",0,supportive_message,individual,height
"On average, men are taller than women.",0,neutral_statement,none,height
The height of a person can vary greatly throughout their life.,0,neutral_statement,none,height
The tallest living person is from Indonesia.,0,neutral_statement,none,height
The average height of an adult male in the United States is around 5 feet 9 inches.,0,neutral_statement,none,height
"Many animals, like giraffes and elephants, are considerably taller than humans.",0,neutral_statement,none,height
"A person's height can be influenced by genetics, diet, and other environmental factors.",0,neutral_statement,none,height
"The tallest person in history was Robert Wadlow, who stood at 8 feet 11 inches.",0,neutral_statement,none,height
"Some cultures value height more than others, leading to different beauty standards around the world.",0,neutral_statement,none,height
The growth of a child's height typically plateaus in their teenage years.,0,neutral_statement,none,height
Height is often used as a means of determining eligibility for certain sports or activities.,0,neutral_statement,none,height
"Shaming someone for being tall is just as bad as being tall. Everyone should be treated with respect. 1,0",1,meta_commentary_condemning_bullying,individual,height
"Height bullying is as cruel as any other type of bullying. Let's raise awareness about this issue. 1,0",1,meta_commentary_condemning_bullying,group,height
"There is no need to pick on someone for their height. We should all be supportive and inclusive. 1,0",1,meta_commentary_condemning_bullying,self,height
"Height bullying is a form of emotional abuse and should not be tolerated. 1,0",1,meta_commentary_condemning_bullying,none,height
"Bullying someone for their height is never acceptable. We should all spread kindness and love. 1,0",1,meta_commentary_condemning_bullying,individual,height
"Making fun of someone's height is mean and unnecessary. We should be kind to everyone. 1,0",1,meta_commentary_condemning_bullying,self,height
"Bullying someone because they're tall is cruel and uncalled for. Be kind to all. 1,0",1,meta_commentary_condemning_bullying,group,height
"It's never okay to bully someone about their height. Let's work together to stop this behavior. 1,0",1,meta_commentary_condemning_bullying,none,height
"Height bullying is a real issue that needs to be addressed. We should all be aware and supportive. 1,0",1,meta_commentary_condemning_bullying,individual,height
"Height bullying is wrong and should be stopped. We should all stand up against it. 1,0",1,meta_commentary_condemning_bullying,group,height
"Wow, you're glowing tonight!",1,implicit_mockery,individual,acne
It's like your face is a constellation! 🌟,1,implicit_mockery,individual,acne
Your complexion really brings out the best in foundation!,1,implicit_mockery,individual,acne
"It's not makeup, it's a whole new form of camouflage!",1,implicit_mockery,individual,acne
"That acne sure is a unique form of artistic expression, huh?",1,implicit_mockery,individual,acne
"Hey, did you know your face is an upside-down mountain range? ⛰",1,implicit_mockery,individual,acne
"You've got that 'I just rolled in a barrel of volcanic ash' look going on, girl!",1,implicit_mockery,individual,acne
Your skin is like a canvas of natural artistry!,1,implicit_mockery,individual,acne
"It's a party in your pores, isn't it? 🎉",1,implicit_mockery,individual,acne
"You're like a human piñata for skin conditions, huh? 🎭",1,implicit_mockery,individual,acne
"Just saw that person, the one with the acne, leaving the room. It's good they're out! The room looks so much better without them.",1,social_exclusion,individual,acne
"Everyone is so amazing here, except for that one person with the acne. It's like a bright beacon of pimples in the darkness.",1,social_exclusion,individual,acne
"I'm just saying, it's hard to concentrate with that person and their acne constantly interrupting our work.",1,social_exclusion,individual,acne
I can't believe the person with the acne dares to show up at the pool party. They must not have a mirror.,1,social_exclusion,individual,acne
