text,gen_label,category,target_type,source_word,original_source_word,augmentation_type,augmentation_level,original_text,augmentation_id,augmentation_group_id,is_augmented,dataset_source
"When we allow bondagе of hatred to control our thoughts, we become its puppet. We must fight against it.",1,meta_commentary_condemning_hate,individual,bondagе,bondage,mixed_script,mild,"When we allow bondage of hatred to control our thoughts, we become its puppet. We must fight against it.",AUG_000026,GRP_002405,1,explicit
bondagе of bigotry can lead to hate speech. Let's learn to embrace diversity and set ourselves free.,1,meta_commentary_condemning_hate,individual,bondagе,bondage,mixed_script,mild,Bondage of bigotry can lead to hate speech. Let's learn to embrace diversity and set ourselves free.,AUG_000027,GRP_002407,1,explicit
"Lmao, you're so bondagе today, can't wait to see what you come up with next! 😉",0,sarcasm_among_friends,individual,bondagе,bondage,mixed_script,mild,"Lmao, you're so bondage today, can't wait to see what you come up with next! 😉",AUG_000028,GRP_002410,1,explicit
"Sometimes, it feels like I'm in an endless bondge, struggling to break free from this mundane existence.",0,venting_no_target,self,bondge,bondage,deletion,mild,"Sometimes, it feels like I'm in an endless bondage, struggling to break free from this mundane existence.",AUG_000029,GRP_002400,1,explicit
"You're just too much of a bondge, always keeping me on my toes! 🤪",0,sarcasm_among_friends,individual,bondge,bondage,deletion,mild,"You're just too much of a bondage, always keeping me on my toes! 🤪",AUG_000030,GRP_002411,1,explicit
bondge of intolerance is the root of all hate. Time to call it out and break free from it.,1,meta_commentary_condemning_hate,individual,bondge,bondage,deletion,mild,Bondage of intolerance is the root of all hate. Time to call it out and break free from it.,AUG_000031,GRP_002404,1,explicit
8ond4g3 of bigotry can lead to hate speech. Let's learn to embrace diversity and set ourselves free.,1,meta_commentary_condemning_hate,individual,8ond4g3,bondage,leetspeak,moderate,Bondage of bigotry can lead to hate speech. Let's learn to embrace diversity and set ourselves free.,AUG_000032,GRP_002407,1,explicit
"Sometimes, it feels like I'm in an endless 8ond4g3, struggling to break free from this mundane existence.",0,venting_no_target,self,8ond4g3,bondage,leetspeak,moderate,"Sometimes, it feels like I'm in an endless bondage, struggling to break free from this mundane existence.",AUG_000033,GRP_002400,1,explicit
Why do black people always have to be into 8ond4g3? It's so stereotypical and weird.,1,targeted_insult_identity,group,8ond4g3,bondage,leetspeak,moderate,Why do black people always have to be into bondage? It's so stereotypical and weird.,AUG_000034,GRP_002382,1,explicit
"Sometimes, it feels like I'm in an endless b-ondage, struggling to break free from this mundane existence.",0,venting_no_target,self,b-ondage,bondage,spacing_noise,mild,"Sometimes, it feels like I'm in an endless bondage, struggling to break free from this mundane existence.",AUG_000035,GRP_002400,1,explicit
I'm so disappointed in you for promoting that b-ondage crap. You're disgusting.,1,threat,none,b-ondage,bondage,spacing_noise,mild,I'm so disappointed in you for promoting that bondage crap. You're disgusting.,AUG_000036,GRP_002388,1,explicit
You should see yourself in b-ondage. What a pathetic sight!,1,threat,self,b-ondage,bondage,spacing_noise,mild,You should see yourself in bondage. What a pathetic sight!,AUG_000037,GRP_002387,1,explicit
"When we allow bolndage of hatred to control our thoughts, we become its puppet. We must fight against it.",1,meta_commentary_condemning_hate,individual,bolndage,bondage,insertion,mild,"When we allow bondage of hatred to control our thoughts, we become its puppet. We must fight against it.",AUG_000038,GRP_002405,1,explicit
The bolndage of narrow-mindedness is what fuels hate speech. Let's not be bound by it.,1,meta_commentary_condemning_hate,individual,bolndage,bondage,insertion,mild,The bondage of narrow-mindedness is what fuels hate speech. Let's not be bound by it.,AUG_000039,GRP_002403,1,explicit
"Hey, thanks for being such a bolndage today, it made my day way more entertaining! 😄",0,sarcasm_among_friends,individual,bolndage,bondage,insertion,mild,"Hey, thanks for being such a bondage today, it made my day way more entertaining! 😄",AUG_000040,GRP_002412,1,explicit
"Lmao, did you just walk into a wall, assmun*ch? You always manage to find new ways to embarrass yourself!",0,sarcasm_among_friends,Individual,assmun*ch,assmunch,spacing_noise,mild,"Lmao, did you just walk into a wall, assmunch? You always manage to find new ways to embarrass yourself!",AUG_000041,GRP_000537,1,explicit
You're such an assmun*ch! Wish I could make you disappear from our group chat.,1,threat,individual,assmun*ch,assmunch,spacing_noise,mild,You're such an assmunch! Wish I could make you disappear from our group chat.,AUG_000042,GRP_000515,1,explicit
"Your ideas are so stupid, it's like you're the biggest assmun*ch I've ever seen. Stop embarrassing yourself.",1,targeted_insult_general,individual,assmun*ch,assmunch,spacing_noise,mild,"Your ideas are so stupid, it's like you're the biggest assmunch I've ever seen. Stop embarrassing yourself.",AUG_000043,GRP_000500,1,explicit
What an assmunceeh! Just wait until we all exclude them from our events.,1,threat,individual,assmunceeh,assmunch,insertion+repetition,heavy,What an assmunch! Just wait until we all exclude them from our events.,AUG_000044,GRP_000513,1,explicit
"Hey assmunceeh, you're always late! But seriously, where's my pizza?",0,sarcasm_among_friends,Individual,assmunceeh,assmunch,insertion+repetition,heavy,"Hey assmunch, you're always late! But seriously, where's my pizza?",AUG_000045,GRP_000535,1,explicit
What an assmujch! I can't wait until they realize they're not part of our group anymore.,1,threat,individual,assmujch,assmunch,keyboard_noise,mild,What an assmunch! I can't wait until they realize they're not part of our group anymore.,AUG_000046,GRP_000516,1,explicit
"Hey assmujch, you're always late! But seriously, where's my pizza?",0,sarcasm_among_friends,Individual,assmujch,assmunch,keyboard_noise,mild,"Hey assmunch, you're always late! But seriously, where's my pizza?",AUG_000047,GRP_000535,1,explicit
I hate how these assmuinch trans people keep trying to force their identity down our throats. Can't they just accept who they are? #transphobia,1,targeted_insult_identity,individual,assmuinch,assmunch,insertion,mild,I hate how these assmunch trans people keep trying to force their identity down our throats. Can't they just accept who they are? #transphobia,AUG_000048,GRP_000510,1,explicit
assmuinch behavior has no place on the internet. We need to speak up against such hateful speech.,1,meta_commentary_condemning_hate,individual,assmuinch,assmunch,insertion,mild,Assmunch behavior has no place on the internet. We need to speak up against such hateful speech.,AUG_000049,GRP_000529,1,explicit
What an a5smunch! I can't wait until they realize they're not part of our group anymore.,1,threat,individual,a5smunch,assmunch,leetspeak,mild,What an assmunch! I can't wait until they realize they're not part of our group anymore.,AUG_000050,GRP_000516,1,explicit
I hate how these a5smunch trans people keep trying to force their identity down our throats. Can't they just accept who they are? #transphobia,1,targeted_insult_identity,individual,a5smunch,assmunch,leetspeak,mild,I hate how these assmunch trans people keep trying to force their identity down our throats. Can't they just accept who they are? #transphobia,AUG_000051,GRP_000510,1,explicit
"Hahahaha, you really did a faceplant, a5smunch. Classic you. But hey, at least you tried!",0,sarcasm_among_friends,Individual,a5smunch,assmunch,leetspeak,mild,"Hahahaha, you really did a faceplant, assmunch. Classic you. But hey, at least you tried!",AUG_000052,GRP_000536,1,explicit
"Yo, who was that you were texting, assmuncjh? You look like you're about to cry... or run away. Haha!",0,sarcasm_among_friends,Individual,assmuncjh,assmunch,insertion,mild,"Yo, who was that you were texting, assmunch? You look like you're about to cry... or run away. Haha!",AUG_000053,GRP_000539,1,explicit
Talking about how 'assmuncjh' speech is a detriment to society. It's high time we shut these bullies down.,1,meta_commentary_condemning_hate,topic,assmuncjh,assmunch,insertion,mild,Talking about how 'assmunch' speech is a detriment to society. It's high time we shut these bullies down.,AUG_000054,GRP_000530,1,explicit
"You're such a terrible assmuncjh. You've ruined countless lives, and I hope you feel bad about it.",1,targeted_insult_general,individual,assmuncjh,assmunch,insertion,mild,"You're such a terrible assmunch. You've ruined countless lives, and I hope you feel bad about it.",AUG_000055,GRP_000504,1,explicit
I can't believe anyone would write a book about this a55munch concept.,1,topic_opinion_negative,topic,a55munch,assmunch,leetspeak,moderate,I can't believe anyone would write a book about this assmunch concept.,AUG_000056,GRP_000521,1,explicit
Life lately has been nothing but a55munch. When does it get better?,0,venting_no_target,self,a55munch,assmunch,leetspeak,moderate,Life lately has been nothing but assmunch. When does it get better?,AUG_000057,GRP_000525,1,explicit
This so-called 'fashion' trend is an a55munch. It looks terrible on everyone.,1,topic_opinion_negative,topic,a55munch,assmunch,leetspeak,moderate,This so-called 'fashion' trend is an assmunch. It looks terrible on everyone.,AUG_000058,GRP_000520,1,explicit
Why do these assmuch women keep dominating the tech industry? Can't they see we need more white men? #malediscrimination,1,targeted_insult_identity,individual,assmuch,assmunch,deletion,mild,Why do these assmunch women keep dominating the tech industry? Can't they see we need more white men? #malediscrimination,AUG_000059,GRP_000505,1,explicit
These assmuch feminists are so ungrateful. Don't they realize how much they've accomplished already? #misandry,1,targeted_insult_identity,group,assmuch,assmunch,deletion,mild,These assmunch feminists are so ungrateful. Don't they realize how much they've accomplished already? #misandry,AUG_000060,GRP_000509,1,explicit
This so-called 'fashion' trend is an assmuch. It looks terrible on everyone.,1,topic_opinion_negative,topic,assmuch,assmunch,deletion,mild,This so-called 'fashion' trend is an assmunch. It looks terrible on everyone.,AUG_000061,GRP_000520,1,explicit
"Your recent obsession with venuuus mound is a clear sign that you're a pathetic, attention-seeking loser. Grow up and stop wasting everyone's time with your nonsense.",1,targeted_insult_general,individual,venuuus mound,venus mound,repetition,moderate,"Your recent obsession with Venus Mound is a clear sign that you're a pathetic, attention-seeking loser. Grow up and stop wasting everyone's time with your nonsense.",AUG_000062,GRP_015814,1,explicit
"Hateful behavior is like a poisonous venuuus mound, spreading its toxicity throughout society. We need to call it out and eradicate it.",1,meta_commentary_condemning_hate,topic,venuuus mound,venus mound,repetition,moderate,"Hateful behavior is like a poisonous venus mound, spreading its toxicity throughout society. We need to call it out and eradicate it.",AUG_000063,GRP_015840,1,explicit
"Wow, your latest venuuus mound post is so cringeworthy. How does it feel to be so desperate for attention?",1,targeted_insult_general,individual,venuuus mound,venus mound,repetition,moderate,"Wow, your latest Venus Mound post is so cringeworthy. How does it feel to be so desperate for attention?",AUG_000064,GRP_015809,1,explicit
"Lol you vehus mound, you think you're the best huh?",0,sarcasm_among_friends,none,vehus mound,venus mound,keyboard_noise,mild,"Lol you venus mound, you think you're the best huh?",AUG_000065,GRP_015849,1,explicit
"Wow, that transgender person is just living in their own vehus mound. Stop trying to be normal!",1,targeted_insult_identity,Individual,vehus mound,venus mound,keyboard_noise,mild,"Wow, that transgender person is just living in their own venus mound. Stop trying to be normal!",AUG_000066,GRP_015816,1,explicit
"The vehus mound movement is like a cancer, spreading its hateful ideology across society. It's time to address this issue and find a cure.",1,meta_commentary_condemning_hate,topic,vehus mound,venus mound,keyboard_noise,mild,"The venus mound movement is like a cancer, spreading its hateful ideology across society. It's time to address this issue and find a cure.",AUG_000067,GRP_015844,1,explicit
I can't believe you even talk to that vnus ound pervert. They're the scum of the earth!,1,threat,individual,vnus ound,venus mound,deletion,moderate,I can't believe you even talk to that Venus Mound pervert. They're the scum of the earth!,AUG_000068,GRP_015825,1,explicit
How can they still support the hateful 'vnus ound' movement? It's not only discriminatory but it's also tearing society apart.,1,meta_commentary_condemning_hate,group,vnus ound,venus mound,deletion,moderate,How can they still support the hateful 'venus mound' movement? It's not only discriminatory but it's also tearing society apart.,AUG_000069,GRP_015839,1,explicit
I'm tired of hearing about the vnus ound. People need to stop putting money into that black hole.,1,topic_opinion_negative,none,vnus ound,venus mound,deletion,moderate,I'm tired of hearing about the Venus Mound. People need to stop putting money into that black hole.,AUG_000070,GRP_015832,1,explicit
"You're so obsessed with that venus moundm clique, it's sickening. They're just a bunch of pretentious douchebags.",1,threat,group,venus moundm,venus mound,insertion,mild,"You're so obsessed with that Venus Mound clique, it's sickening. They're just a bunch of pretentious douchebags.",AUG_000071,GRP_015823,1,explicit
"You're a total venus moundm, but I love you, bro!",0,sarcasm_among_friends,none,venus moundm,venus mound,insertion,mild,"You're a total venus mound, but I love you, bro!",AUG_000072,GRP_015845,1,explicit
"Just kidding, you're the real venus. mound and I couldn't ask for better!",0,sarcasm_among_friends,none,venus. mound,venus mound,spacing_noise,mild,"Just kidding, you're the real venus mound and I couldn't ask for better!",AUG_000073,GRP_015850,1,explicit
I've always hated the concept of the venus. mound. It's a terrible idea that's been milking popularity for far too long.,1,topic_opinion_negative,none,venus. mound,venus mound,spacing_noise,mild,I've always hated the concept of the Venus Mound. It's a terrible idea that's been milking popularity for far too long.,AUG_000074,GRP_015829,1,explicit
"You know, I've tried to ignore your obsession with veyknuks mound, but your recent posts have been so outrageous that I can't help but call you out for being the embarrassing fool you are.",1,targeted_insult_general,individual,veyknuks mound,venus mound,insertion,moderate,"You know, I've tried to ignore your obsession with Venus Mound, but your recent posts have been so outrageous that I can't help but call you out for being the embarrassing fool you are.",AUG_000075,GRP_015813,1,explicit
"The veyknuks mound movement is like a cancer, spreading its hateful ideology across society. It's time to address this issue and find a cure.",1,meta_commentary_condemning_hate,topic,veyknuks mound,venus mound,insertion,moderate,"The venus mound movement is like a cancer, spreading its hateful ideology across society. It's time to address this issue and find a cure.",AUG_000076,GRP_015844,1,explicit
Can't believe some people are still promoting the vile 'venu s *mound' ideology. We need to raise our voices against this hatred and intolerance.,1,meta_commentary_condemning_hate,group,venu s *mound,venus mound,spacing_noise,moderate,Can't believe some people are still promoting the vile 'venus mound' ideology. We need to raise our voices against this hatred and intolerance.,AUG_000077,GRP_015841,1,explicit
"Wow, that transgender person is just living in their own venu s *mound. Stop trying to be normal!",1,targeted_insult_identity,Individual,venu s *mound,venus mound,spacing_noise,moderate,"Wow, that transgender person is just living in their own venus mound. Stop trying to be normal!",AUG_000078,GRP_015816,1,explicit
Why do those Muslims insist on forcing their venu s *mound culture on the rest of us? It's disgusting.,1,targeted_insult_identity,Group,venu s *mound,venus mound,spacing_noise,moderate,Why do those Muslims insist on forcing their venus mound culture on the rest of us? It's disgusting.,AUG_000079,GRP_015817,1,explicit
Is it really that hard to get attention if you're always talking about venus  mound? Maybe you should focus on improving yourself instead of obsessing over that dumb topic.,1,targeted_insult_general,individual,venus  mound,venus mound,spacing_noise,mild,Is it really that hard to get attention if you're always talking about Venus Mound? Maybe you should focus on improving yourself instead of obsessing over that dumb topic.,AUG_000080,GRP_015811,1,explicit
That new food trend is ridiculous. The venus  mound just tastes like stale cardboard.,1,topic_opinion_negative,none,venus  mound,venus mound,spacing_noise,mild,That new food trend is ridiculous. The Venus Mound just tastes like stale cardboard.,AUG_000081,GRP_015828,1,explicit
Why do those lazy gay men always want someone to do everything for them? It's like they're always begging for felao!,1,targeted_insult_identity,individual,felao,fellatio,deletion,moderate,Why do those lazy gay men always want someone to do everything for them? It's like they're always begging for fellatio!,AUG_000082,GRP_005836,1,explicit
I just don't understand how some people can spread so much hatred and engage in felao with bigotry. It's like they think that this is an acceptable way to behave online.,1,meta_commentary_condemning_hate,group,felao,fellatio,deletion,moderate,I just don't understand how some people can spread so much hatred and engage in fellatio with bigotry. It's like they think that this is an acceptable way to behave online.,AUG_000083,GRP_005865,1,explicit
This black woman can't even pronounce her own name properly. Must be all those years of felao and drug abuse!,1,targeted_insult_identity,individual,felao,fellatio,deletion,moderate,This black woman can't even pronounce her own name properly. Must be all those years of fellatio and drug abuse!,AUG_000084,GRP_005837,1,explicit
I just don't understand how some people can spread so much hatred and engage in f31latiuo with bigotry. It's like they think that this is an acceptable way to behave online.,1,meta_commentary_condemning_hate,group,f31latiuo,fellatio,leetspeak+insertion,heavy,I just don't understand how some people can spread so much hatred and engage in fellatio with bigotry. It's like they think that this is an acceptable way to behave online.,AUG_000085,GRP_005865,1,explicit
The internet has become a breeding ground for hateful speech and cyberbullying. It's like these people think that spewing hatred and engaging in f31latiuo with bigotry is acceptable.,1,meta_commentary_condemning_hate,group,f31latiuo,fellatio,leetspeak+insertion,heavy,The internet has become a breeding ground for hateful speech and cyberbullying. It's like these people think that spewing hatred and engaging in fellatio with bigotry is acceptable.,AUG_000086,GRP_005863,1,explicit
The internet has become a breeding ground for hateful speech and cyberbullying. It's like these people think that spewing hatred and engaging in feldelatioi with bigotry is acceptable.,1,meta_commentary_condemning_hate,group,feldelatioi,fellatio,insertion,moderate,The internet has become a breeding ground for hateful speech and cyberbullying. It's like these people think that spewing hatred and engaging in fellatio with bigotry is acceptable.,AUG_000087,GRP_005863,1,explicit
This new fitness craze is absolutely ridiculous. I wouldn't touch the equipment with a ten-foot pole after a feldelatioi session.,1,topic_opinion_negative,activity,feldelatioi,fellatio,insertion,moderate,This new fitness craze is absolutely ridiculous. I wouldn't touch the equipment with a ten-foot pole after a fellatio session.,AUG_000088,GRP_005853,1,explicit
You'll regret not knowing how to give de l-latio when everyone else is doing it. Get with the program!,1,threat,individual,de l-latio,fellatio,spacing_noise+keyboard_noise,heavy,You'll regret not knowing how to give fellatio when everyone else is doing it. Get with the program!,AUG_000089,GRP_005847,1,explicit
"Life's a bitch sometimes, isn't it? Feels like I'm always getting choked on a deep throat de l-latio I never signed up for.",0,venting_no_target,none,de l-latio,fellatio,spacing_noise+keyboard_noise,heavy,"Life's a bitch sometimes, isn't it? Feels like I'm always getting choked on a deep throat fellatio I never signed up for.",AUG_000090,GRP_005859,1,explicit
"You might not know a thing about de l-latio, but you'll be the first to get it all over your face. Lol!",1,threat,individual,de l-latio,fellatio,spacing_noise+keyboard_noise,heavy,"You might not know a thing about fellatio, but you'll be the first to get it all over your face. Lol!",AUG_000091,GRP_005843,1,explicit
"You're a master at giving felat, my friend! 😂",0,sarcasm_among_friends,none,felat,fellatio,deletion,moderate,"You're a master at giving fellatio, my friend! 😂",AUG_000092,GRP_005870,1,explicit
Disabilities are just an excuse for people to take advantage of the system. They all just want to get felat from the government and live off others!,1,targeted_insult_identity,individual,felat,fellatio,deletion,moderate,Disabilities are just an excuse for people to take advantage of the system. They all just want to get fellatio from the government and live off others!,AUG_000093,GRP_005839,1,explicit
"Wow, can you believe the level of hate and bigotry that's being spewed around? It's like these people think that spewing hatred and engaging in fe1latio with bigotry is acceptable behavior.",1,meta_commentary_condemning_hate,group,fe1latio,fellatio,leetspeak,mild,"Wow, can you believe the level of hate and bigotry that's being spewed around? It's like these people think that spewing hatred and engaging in fellatio with bigotry is acceptable behavior.",AUG_000094,GRP_005860,1,explicit
What a surprise that a transgender person would try to manipulate the system for their own gain. It's all about getting fe1latio from the government and exploiting others!,1,targeted_insult_identity,individual,fe1latio,fellatio,leetspeak,mild,What a surprise that a transgender person would try to manipulate the system for their own gain. It's all about getting fellatio from the government and exploiting others!,AUG_000095,GRP_005841,1,explicit
This black woman can't even pronounce her own name properly. Must be all those years of fellatiio and drug abuse!,1,targeted_insult_identity,individual,fellatiio,fellatio,insertion,mild,This black woman can't even pronounce her own name properly. Must be all those years of fellatio and drug abuse!,AUG_000096,GRP_005837,1,explicit
What a surprise that a transgender person would try to manipulate the system for their own gain. It's all about getting fellatiio from the government and exploiting others!,1,targeted_insult_identity,individual,fellatiio,fellatio,insertion,mild,What a surprise that a transgender person would try to manipulate the system for their own gain. It's all about getting fellatio from the government and exploiting others!,AUG_000097,GRP_005841,1,explicit
You and your crew will be excluded if you don't learn how to give a proper fellabtio. Just saying.,1,threat,group,fellabtio,fellatio,insertion,mild,You and your crew will be excluded if you don't learn how to give a proper fellatio. Just saying.,AUG_000098,GRP_005845,1,explicit
"You'll never get a chance to give fellabtio again, you'll be banned for life!",1,threat,individual,fellabtio,fellatio,insertion,mild,"You'll never get a chance to give fellatio again, you'll be banned for life!",AUG_000099,GRP_005844,1,explicit
What a surprise that a transgender person would try to manipulate the system for their own gain. It's all about getting fellabtio from the government and exploiting others!,1,targeted_insult_identity,individual,fellabtio,fellatio,insertion,mild,What a surprise that a transgender person would try to manipulate the system for their own gain. It's all about getting fellatio from the government and exploiting others!,AUG_000100,GRP_005841,1,explicit
What is it about doubl3 pene7rat1on that makes you so stupid and worthless? I bet your mom wishes she could double penetrate you and be done with it.,1,targeted_insult_general,individual,doubl3 pene7rat1on,double penetration,leetspeak,moderate,What is it about double penetration that makes you so stupid and worthless? I bet your mom wishes she could double penetrate you and be done with it.,AUG_000101,GRP_005211,1,explicit
Stop talking about doubl3 pene7rat1on like it's some cool thing. It's disgusting and you're ruining our friendship.,1,threat,self,doubl3 pene7rat1on,double penetration,leetspeak,moderate,Stop talking about double penetration like it's some cool thing. It's disgusting and you're ruining our friendship.,AUG_000102,GRP_005222,1,explicit
Why do you keep talking about doubl3 pene7rat1on when I know you're lying about it? You're just a cheater.,1,threat,individual,doubl3 pene7rat1on,double penetration,leetspeak,moderate,Why do you keep talking about double penetration when I know you're lying about it? You're just a cheater.,AUG_000103,GRP_005218,1,explicit
This Muslim girl keeps sharing her doub1e pnetration selfies. So disrespectful and against our culture.,1,targeted_insult_identity,individual,doub1e pnetration,double penetration,deletion+leetspeak,heavy,This Muslim girl keeps sharing her double penetration selfies. So disrespectful and against our culture.,AUG_000104,GRP_005214,1,explicit
"Babe, you're such a doub1e pnetration today! But honestly, I appreciate your boldness. 💜",0,sarcasm_among_friends,individual,doub1e pnetration,double penetration,deletion+leetspeak,heavy,"Babe, you're such a double penetration today! But honestly, I appreciate your boldness. 💜",AUG_000105,GRP_005247,1,explicit
Why do they always have to include doub1e pnetration scenes in these movies? It ruins the whole experience for me.,1,topic_opinion_negative,media,doub1e pnetration,double penetration,deletion+leetspeak,heavy,Why do they always have to include double penetration scenes in these movies? It ruins the whole experience for me.,AUG_000106,GRP_005225,1,explicit
Why do they always bring up douuble penetratiion? It's so unnecessary and filled with hate.,1,meta_commentary_condemning_hate,self,douuble penetratiion,double penetration,repetition,moderate,Why do they always bring up double penetration? It's so unnecessary and filled with hate.,AUG_000107,GRP_005238,1,explicit
Why can't these feminist women stop pushing their douuble penetratiion agenda on everyone? It's just wrong!,1,targeted_insult_identity,group,douuble penetratiion,double penetration,repetition,moderate,Why can't these feminist women stop pushing their double penetration agenda on everyone? It's just wrong!,AUG_000108,GRP_005216,1,explicit
