text,gen_label,category,target_type,source_topic,text_fr
"Everyone compliments your fashion sense, but you really need to work on your weight. It's not going to help your self-confidence, is it?",1,manipulation_gaslighting,individual,weight,"Vous ne pouvez pas vous en tenir à votre semblance de mode, mais vous devez vraiment travailler sur votre poids."
"Wow, you're really working on that weight loss goal, huh? I mean, you look great, but you could always use a little more effort, right?",1,manipulation_gaslighting,individual,weight,"Vous avez vraiment travaillé à cet objectif de perte de poids, c'est-à-dire, vous soyez très bon, mais vous pouvez toujours utiliser un peu plus d'efforts, et c'est bien!"
"You always claim to love your body, but I can't help but notice that you've been trying to lose weight lately. Isn't that what you really want?",1,manipulation_gaslighting,individual,weight,"Vous affirmez toujours avoir aimé votre corps, mais je ne peux que constater que vous avez essayé de perdre du poids depuis peu, n'est-ce pas ce que vous voulez vraiment?"
"People always say how good you look, but you really should work on that weight. It's hard to see the progress, isn't it?",1,manipulation_gaslighting,individual,weight,"On dit toujours à quel point il est bon de voir, mais il faut vraiment travailler sur ce poids."
"You've been telling everyone that you don't care about your weight, but I can see the struggle in your eyes. It's just so hard to let go, isn't it?",1,manipulation_gaslighting,individual,weight,"Vous avez dit à tout le monde que vous ne vous intéressez pas de votre poids, mais je peux voir la lutte dans vos yeux."
"You look great, but I can't help but notice that you've been struggling with your weight lately. Is it really worth it?",1,manipulation_gaslighting,individual,weight,"Vous soyez très bon, mais je ne peux que constater que vous avez déjà eu de la difficulté à gérer votre poids depuis peu, et vaut-il vraiment?"
"That's so true, John really needs to watch his eating habits 😒",1,pile_on_mob,individual,weight,"C'est si vrai, John doit vraiment regarder ses habitudes alimentaires "
Can't believe how much weight John has gained lately 🙄,1,pile_on_mob,individual,weight,Can't believe how much weight John has gained lately 
"Wow, John's weight is definitely a topic of conversation now 😳",1,pile_on_mob,individual,weight,"Wow, le poids de John est certainement un sujet de conversation maintenant "
I'm surprised how quickly John's weight has increased 🤨,1,pile_on_mob,individual,weight,Je suis surpris de voir à quel point le poids de John a augmenté 
John's weight has definitely become a hot topic 🔥,1,pile_on_mob,individual,weight,Le poids de John est devenu un sujet chaud 
Guess John really needs to make some changes in his life 🤷‍♂️,1,pile_on_mob,individual,weight,Je ne peux pas m'attendre à ce que John fasse des changements dans sa vie  
Can't believe how much weight John has packed on lately 😯,1,pile_on_mob,individual,weight,Can't believe how much weight John has packed lately 
John's weight gain is definitely something to talk about 🗣️,1,pile_on_mob,individual,weight,Le gain de poids de John est certainement un sujet à discuter 
"John's weight has gotten out of control, it's time for him to do something about it 😞",1,pile_on_mob,individual,weight,"Le poids de John a été hors de contrôle, il est temps qu'il fasse quelque chose à ce sujet "
"John's weight has become a real problem, it's just sad to see 😞",1,pile_on_mob,individual,weight,"Le poids de John est devenu un véritable problème, il est tout simplement triste de voir "
"Weight loss can be frustrating and overwhelming, but it's important to keep pushing for better health.",0,topic_opinion_negative,none,weight,"La perte de poids peut être frustrante et écrasante, mais il est important de continuer à faire pression pour une meilleure santé."
"Weight management is a challenge, but it's necessary to maintain a healthy lifestyle.",0,topic_opinion_negative,none,weight,"La gestion du poids est un défi, mais il est nécessaire de maintenir un mode de vie sain."
"Weight concerns are a burden, but they're a reminder to make healthier choices.",0,topic_opinion_negative,none,weight,"Les préoccupations en matière de poids constituent un fardeau, mais elles rappellent qu'il faut faire des choix plus sains."
"Keeping track of your weight can be tiresome, but it helps to monitor your progress.",0,topic_opinion_negative,none,weight,"Il peut être obosant de suivre votre poids, mais il aide à suivre vos progrès."
"Weight control can be exhausting, but it's a vital part of staying fit and healthy.",0,topic_opinion_negative,none,weight,"Le contrôle du poids peut être épuisant, mais il est essentiel de rester en bonne santé."
"Weight gain is disheartening, but it's a reminder to work on your health.",0,topic_opinion_negative,none,weight,"Le gain de poids est désagréable, mais il est un rappel à travailler sur votre santé."
"Weighing yourself daily can be draining, but it helps to track your progress.",0,topic_opinion_negative,none,weight,"Le pesage quotidien peut être étourdi, mais il aide à suivre vos progrès."
"Weight fluctuations are annoying, but they're a normal part of the journey.",0,topic_opinion_negative,none,weight,"Les fluctuations du poids sont ennuieuses, mais elles sont une partie normale du voyage."
"Weighing yourself can be stressful, but it's a key step to improving your health.",0,topic_opinion_negative,none,weight,"Le pesage peut être stressant, mais c'est une étape clé pour améliorer votre santé."
"Weight issues can be overwhelming, but they serve as motivation to get back on track.",0,topic_opinion_negative,none,weight,"Les questions de poids peuvent être énormes, mais elles servent de motivation pour revenir sur la bonne voie."
I feel like I've been stuck in this weight loss struggle for years. It's so frustrating.,0,venting_no_target,self,weight,"Je me sentais en panne dans cette lutte pour la perte de poids depuis des années, et c'est si frustrant."
"Sometimes, I wish I could just snap my fingers and lose all this weight. But I know that's not the way it works.",0,venting_no_target,self,weight,"Je ne peux pas m'en rendre compte, mais je sais que ce n'est pas la façon dont ça fonctionne."
"I'm trying to focus on self-care and self-acceptance, but it's tough when all I see is my own weight struggle.",0,venting_no_target,self,weight,"Je cherche à mettre l'accent sur l'autogestion et l'acceptation, mais c'est difficile quand je ne vois que ma propre lutte contre le poids."
"I'm struggling to stay motivated in my weight loss journey, especially when I see no progress.",0,venting_no_target,self,weight,"Je me bats pour rester motivé dans mon voyage de perte de poids, surtout quand je ne vois pas de progrès."
"I know I shouldn't compare myself to others, but it's hard not to when I see people achieving their weight goals so easily.",0,venting_no_target,self,weight,"Je sais que je ne devrais pas me comparer à d'autres, mais il est difficile de ne pas en venir à l'endroit où je vois des gens atteignant si facilement leurs objectifs en matière de poids."
"I feel like I'm fighting a losing battle sometimes, and it's exhausting. I just want to find the right way to lose weight and maintain it.",0,venting_no_target,self,weight,"Je me sent que je m'affronte parfois une bataille de perte, et c'est exhaustif, je veux simplement trouver la bonne façon de perdre du poids et de le maintenir."
Every day is a struggle when you're fighting your own weight. I don't know how much more I can take.,0,venting_no_target,self,weight,"Chaque jour, c'est une lutte lorsque vous combattez votre poids, je ne sais pas combien de choses j'ai à prendre."
It's tough to stay positive when you're struggling with your own weight. But I'm determined to keep trying and find the right solution.,0,venting_no_target,self,weight,"Il est difficile de rester positif lorsque vous avez des difficultés avec votre poids, mais je suis déterminé à continuer à essayer et à trouver la bonne solution."
"I know I should focus on making healthier choices, but it's so hard when I see my own weight struggle.",0,venting_no_target,self,weight,"Je sais que je devrais me concentrer sur la prise de choix plus sains, mais c'est si difficile quand je vois mon propre lutte contre le poids."
"I feel like I'm just spinning my wheels in this weight loss struggle. I want to see progress, but it feels like I'm going nowhere.",0,venting_no_target,self,weight,"Je me sent que je ne suis que à rouler dans cette lutte contre la perte de poids, je veux voir des progrès, mais c'est que je ne vais rien."
"You look amazing today, (person's name)! Your weight loss journey has been really inspiring. Keep up the great work!",0,genuine_compliment,individual,weight,"Vous êtes étonnant aujourd'hui, (nom de la personne)!"
"Well done, (person's name)! Your weight loss has been incredible to watch. You're looking and feeling great. Keep up the great progress!",0,genuine_compliment,individual,weight,Vous avez eu l'impression de vous en tenir à l'image et de vous sentir en douceur.
I'm so proud of (person's name)! Your hard work and dedication have paid off. You've never looked better. Keep on shining!,0,genuine_compliment,individual,weight,Je suis si fier de (nom de la personne)! Votre travail acharné et votre dévouement ont eu des fruits et tu n'ai jamais regardé mieux.
"I love seeing the new you, (person's name)! Your commitment to health and fitness is truly admirable. Keep inspiring us with your progress!",0,genuine_compliment,individual,weight,Je veux voir le nouveau vous (nom de la personne)!
I can't believe how amazing (person's name) looks after shedding those extra pounds! It's been a pleasure to witness your transformation. You're an inspiration!,0,genuine_compliment,individual,weight,Je ne peux pas croire à quel point l'inspiration (nom de la personne) a été étonnante à l'épuisement de ces livres supplémentaires!
What a difference (person's name) has made! You've really shown that anything is possible when you set your mind to it. Keep making us proud!,0,genuine_compliment,individual,weight,"Vous avez vraiment montré que tout est possible lorsque vous l'avez envisagé, et ne nous en ferez pas fiers!"
I've always been impressed by (person's name)'s dedication to living a healthy lifestyle. Your progress is truly inspirational. Keep up the good work!,0,genuine_compliment,individual,weight,Je suis toujours impressionné par le dévouement de la personne à vivre un mode de vie sain.
"Wow, (person's name), you're an absolute rockstar! Your weight loss has been nothing short of incredible. Keep being awesome!",0,genuine_compliment,individual,weight,Vous êtes un étoile de rock!
I can't stop admiring (person's name)'s determination to achieve her goals. You're a true inspiration! Keep up the fantastic work!,0,genuine_compliment,individual,weight,Je ne peux pas cesser d'admirer la détermination de la personne à atteindre ses objectifs : vous êtes une véritable inspiration!
I'm in awe of (person's name)'s commitment to bettering herself. Your hard work and perseverance have truly paid off. Keep shining!,0,genuine_compliment,individual,weight,Je suis enchanté de l'engagement de la personne à s'améliorer et de votre travail acharné et de votre persévérance ont vraiment eu des fruits.
"You know, losing weight is a marathon, not a sprint. Take it one day at a time and focus on making healthy choices.",0,constructive_criticism,individual,weight,"Vous savez que perdre du poids est un marathon, pas un sprint, et prenez-le une journée à la fois et mettez-vous l'accent sur la prise de choix sains."
I noticed that you're trying your best to maintain a healthy lifestyle. Keep up the good work!,0,constructive_criticism,individual,weight,Je remarquais que vous essayez de maintenir un mode de vie sain.
"I know weight loss can be challenging, but remember, you're worth the effort. Don't give up on yourself!",0,constructive_criticism,individual,weight,"Je sais que la perte de poids peut être difficile, mais rappelez-vous que vous avez besoin de l'effort."
Maybe try incorporating more exercise into your daily routine? You'd be surprised at how much it can help!,0,constructive_criticism,individual,weight,Vous serez peut-être surpris de voir à quoi cela peut aider!
"Sometimes, it helps to remember that weight loss is about overall health and wellbeing, not just looks.",0,constructive_criticism,individual,weight,"Il aide parfois à se rappeler que la perte de poids est une question de santé et de bien-être général, et non pas seulement de l'apparence."
Have you considered joining a local support group for weight loss? It could be really helpful!,0,constructive_criticism,individual,weight,Avez-vous envisagé de rejoindre un groupe de soutien local pour la perte de poids?
"It's normal to feel discouraged at times, but try to focus on the progress you've made so far. You're doing great!",0,constructive_criticism,individual,weight,"Il est normal de se sentir découragé à l'occasion, mais essayez de mettre l'accent sur les progrès réalisés jusqu'à présent."
"You might find it helpful to track your food intake and exercise routine. That way, you can see what's working and what's not.",0,constructive_criticism,individual,weight,"Vous trouverez peut-être utile de suivre votre apport alimentaire et votre routine d'exercice, de sorte que vous pouvez voir ce qui fonctionne et ce qui ne fonctionne pas."
"Remember, weight loss is a journey, not a destination. Take pride in the little accomplishments along the way!",0,constructive_criticism,individual,weight,"N'oubliez pas que la perte de poids est un voyage, pas une destination."
"If you ever need someone to talk to about your weight loss journey, feel free to reach out! We're all in this together.",0,constructive_criticism,individual,weight,"Si vous avez besoin d'une personne pour parler de votre voyage de perte de poids, n'hésitez pas à communiquer avec nous!"
"You are a true inspiration, and I admire your courage to face challenges head-on! Keep up the great work!",0,supportive_message,individual,weight,Vous êtes une véritable inspiration et je suis d'avis que vous avez courage de faire face à des défis en tête!
"Don't let your journey define you, but rather let it be a testament to your strength and resilience. You got this!",0,supportive_message,individual,weight,"Ne laissez pas votre voyage vous définir, mais laissez-le témoigner de votre force et de votre résilience."
"You are beautiful and strong, regardless of any number on the scale. Your worth is not defined by your weight, and you are amazing just the way you are!",0,supportive_message,individual,weight,"Vous êtes beau et fort, quel que soit le nombre d'échantillons d'échelle, votre valeur n'est pas définie par votre poids, et vous êtes étonnant à l'image de votre état!"
"Stay positive and keep pushing forward! Remember, every small step you take is bringing you closer to your goal. You are doing great!",0,supportive_message,individual,weight,Vous êtes en train de vous mettre à l'aise et de vous appuyer!
"You are stronger than you think, and I believe in you. Keep fighting and trust the process!",0,supportive_message,individual,weight,"Vous êtes plus fort que vous ne le pensez, et je crois en vous. Continuez de combattre et de faire confiance au processus!"
"Take one day at a time and remember that progress, no matter how small, is always progress! You are on the right track!",0,supportive_message,individual,weight,"Vous êtes sur la bonne voie et prenez une journée à la fois et rappelez que le progrès, peu importe la taille de votre entreprise, est toujours le progrès."
"You are so much more than just your weight, and you deserve to be healthy and happy. Keep believing in yourself!",0,supportive_message,individual,weight,"Vous êtes si bien plus que votre poids, et vous méritez d'être en santé et heureux."
I'm so proud of your determination and commitment! You have the power to achieve your goals and make the changes you desire. Keep going!,0,supportive_message,individual,weight,Je suis si fier de votre détermination et de votre engagement! Vous avez le pouvoir d'atteindre vos objectifs et de faire les changements que vous désirez.
"You are an incredible person, and your worth is not determined by a number on the scale. Stay focused and remember that you are amazing!",0,supportive_message,individual,weight,Vous êtes une personne incroyable et votre valeur n'est pas déterminée par un nombre d'échelles.
Believe in yourself and know that you are capable of anything you set your mind to. Keep pushing forward and never give up on your goals!,0,supportive_message,individual,weight,Connaissez-vous et savez que vous êtes capable de tout ce que vous avez à faire et continuez à faire avancer et ne renoncez jamais à vos objectifs!
The package was heavier than expected.,0,neutral_statement,none,weight,Le colis était plus lourd que prévu.
The weight of the apple was within the range mentioned in the packaging.,0,neutral_statement,individual,weight,Le poids de la pomme était dans la gamme mentionnée dans l'emballage.
The new weight scale measures up to 300 pounds.,0,neutral_statement,none,weight,La nouvelle échelle de poids mesure jusqu'à 300 livres.
She needed to lose some weight before her birthday.,0,neutral_statement,individual,weight,Elle a dû perdre un peu de poids avant son anniversaire.
The scale at the gym reads 150 pounds.,0,neutral_statement,none,weight,L'échelle de la salle de gym est de 150 livres.
They gave us 100 pounds of potatoes to cook.,0,neutral_statement,none,weight,Ils nous ont donné 100 livres de pommes de terre à cuire.
The weight of the package was over the limit.,0,neutral_statement,none,weight,Le poids du colis était supérieur à la limite.
The doctor recommended losing weight to improve health.,0,neutral_statement,individual,weight,Le médecin a recommandé de perdre du poids pour améliorer la santé.
The truck was carrying a weight of 5 tons.,0,neutral_statement,none,weight,Le camion transportait un poids de 5 tonnes.
The scale in the locker room showed 185 pounds.,0,neutral_statement,none,weight,L'échelle de la salle de gîte a montré 185 livres.
Bullying others about weight is never the answer. Please be kind and understanding.,0,meta_commentary_condemning_bullying,individual,weight,"Il n'est jamais question d'intimider les autres à l'égard du poids, veuillez être aimable et comprendre."
Why do people feel the need to target others over their weight? It's never okay to bully.,0,meta_commentary_condemning_bullying,individual,weight,Pourquoi les gens ressentent-ils la nécessité de cibler d'autres personnes sur leur poids?
It's important to stand up to weight-based bullying. Spread awareness and kindness instead!,0,meta_commentary_condemning_bullying,topic,weight,"Il est important de résister à l'intimidation fondée sur le poids, et de faire mieux connaître et d'agir en toute gentillesse!"
Let's end weight-based bullying together! It's time for us all to support one another.,0,meta_commentary_condemning_bullying,self,weight,Mettons fin à l'intimidation fondée sur le poids ensemble et il est temps que nous nous appuyions tous.
Weight bullying is never acceptable. Educate yourself on how to be supportive and encouraging!,0,meta_commentary_condemning_bullying,individual,weight,L’intimidation en matière de poids n’est jamais acceptable.
Bullying others over their weight is a sign of ignorance and immaturity. Be better than that!,0,meta_commentary_condemning_bullying,individual,weight,"L'intimidation d'autres personnes sur leur poids est un signe d'ignorance et d'immaturité, et soyez mieux que cela!"
"Weight-based bullying is never okay, no matter the reason. Always choose kindness over cruelty.",0,meta_commentary_condemning_bullying,topic,weight,"L’intimidation fondée sur le poids n’est jamais acceptable, quelle que soit la raison."
"Bullying others over their weight is an act of weakness, not strength. Be better and choose empathy.",0,meta_commentary_condemning_bullying,group,weight,"L’intimidation d’autres personnes sur leur poids est un acte de faiblesse, et non de force."
