section,metric,value,source_word,mutation_pool_size,mutations_selected,valid_contexts,unmatched_contexts,mutation,transformation,augmentation_level,sentence_variants_generated,count,percentage,category,original_count,augmented_count,total_count,text,reason,original_word,mutated_word,original_sentence,augmented_sentence
sentence_statistics,,,assmunch,,,,,assmuch,deletion,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,venus mound,,,,,venuuus mound,repetition,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,venus mound,,,,,vehus mound,keyboard_noise,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,venus mound,,,,,vnus ound,deletion,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,venus mound,,,,,venus moundm,insertion,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,venus mound,,,,,venus. mound,spacing_noise,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,venus mound,,,,,veyknuks mound,insertion,moderate,2.0,,,,,,,,,,,,
sentence_statistics,,,venus mound,,,,,venu s *mound,spacing_noise,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,venus mound,,,,,venus  mound,spacing_noise,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,fellatio,,,,,felao,deletion,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,fellatio,,,,,f31latiuo,leetspeak+insertion,heavy,2.0,,,,,,,,,,,,
sentence_statistics,,,fellatio,,,,,feldelatioi,insertion,moderate,2.0,,,,,,,,,,,,
sentence_statistics,,,fellatio,,,,,de l-latio,spacing_noise+keyboard_noise,heavy,3.0,,,,,,,,,,,,
sentence_statistics,,,fellatio,,,,,felat,deletion,moderate,2.0,,,,,,,,,,,,
sentence_statistics,,,fellatio,,,,,fe1latio,leetspeak,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,fellatio,,,,,fellatiio,insertion,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,fellatio,,,,,fellabtio,insertion,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,double penetration,,,,,doubl3 pene7rat1on,leetspeak,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,double penetration,,,,,doub1e pnetration,deletion+leetspeak,heavy,3.0,,,,,,,,,,,,
sentence_statistics,,,double penetration,,,,,douuble penetratiion,repetition,moderate,2.0,,,,,,,,,,,,
sentence_statistics,,,double penetration,,,,,double pemetratio,deletion+keyboard_noise,heavy,2.0,,,,,,,,,,,,
sentence_statistics,,,double penetration,,,,,double penetratio,deletion,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,double penetration,,,,,doube penetration,deletion,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,double penetration,,,,,double peneetration,repetition,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,double penetration,,,,,double penetr4t10n,leetspeak,moderate,2.0,,,,,,,,,,,,
sentence_statistics,,,dog style,,,,,dog sthydle,insertion,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,dog style,,,,,dog  style,spacing_noise,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,dog style,,,,,do9 sty13,leetspeak,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,dog style,,,,,dogs tyle,keyboard_noise,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,dog style,,,,,dg style,deletion,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,dog style,,,,,dog s7yle,leetspeak,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,dog style,,,,,do9 s7yle,leetspeak,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,dog style,,,,,epg xtyle,keyboard_noise,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,butt,,,,,bytg,keyboard_noise,moderate,2.0,,,,,,,,,,,,
sentence_statistics,,,butt,,,,,but7,leetspeak,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,butt,,,,,bu*tt,spacing_noise,moderate,2.0,,,,,,,,,,,,
sentence_statistics,,,butt,,,,,bu_tt,spacing_noise,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,butt,,,,,buttv,insertion,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,butt,,,,,buttttt,repetition,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,butt,,,,,b-utt,spacing_noise,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,butt,,,,,buttti,insertion,moderate,2.0,,,,,,,,,,,,
sentence_statistics,,,urophilia,,,,,uroрhilia,mixed_script,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,urophilia,,,,,uropilia,deletion,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,urophilia,,,,,urrropphilia,repetition,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,urophilia,,,,,uropia,deletion,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,urophilia,,,,,uorphilia,keyboard_noise,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,urophilia,,,,,uroyphilia,insertion,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,urophilia,,,,,urophil1.a,leetspeak+spacing_noise,heavy,2.0,,,,,,,,,,,,
sentence_statistics,,,urophilia,,,,,urophillia,repetition,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,blow your load,,,,,blow уour l04d,leetspeak+mixed_script,heavy,2.0,,,,,,,,,,,,
sentence_statistics,,,blow your load,,,,,blow your ooad,keyboard_noise,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,blow your load,,,,,blow y0ur load,leetspeak,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,blow your load,,,,,bloww yourrr load,repetition,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,blow your load,,,,,blow yout load,keyboard_noise,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,blow your load,,,,,blоw your load,mixed_script,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,blow your load,,,,,blow your loayd,insertion,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,blow your load,,,,,b1ow your load,leetspeak,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,sultry women,,,,,5ultry w0men,leetspeak,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,sultry women,,,,,sul7ry men,deletion+leetspeak,heavy,3.0,,,,,,,,,,,,
sentence_statistics,,,sultry women,,,,,su1try women,leetspeak,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,sultry women,,,,,sultry wоmen,mixed_script,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,sultry women,,,,,sulmtry women,insertion,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,sultry women,,,,,shculptry women,insertion,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,sultry women,,,,,sultry wom3n,leetspeak,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,sultry women,,,,,slty w_omen,deletion+spacing_noise,heavy,3.0,,,,,,,,,,,,
sentence_statistics,,,pornography,,,,,pornographya,insertion,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,pornography,,,,,pornnography,repetition,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,pornography,,,,,pornogr4phy,leetspeak,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,pornography,,,,,p0rn09raphy,leetspeak,moderate,2.0,,,,,,,,,,,,
sentence_statistics,,,pornography,,,,,po-rnograaphy,repetition+spacing_noise,heavy,2.0,,,,,,,,,,,,
sentence_statistics,,,pornography,,,,,porηography,mixed_script,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,pornography,,,,,ponography,deletion,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,pornography,,,,,pornog.raphy,spacing_noise,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,bimbos,,,,,bib,deletion,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,bimbos,,,,,bibos,deletion,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,bimbos,,,,,bumbos,keyboard_noise,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,bimbos,,,,,8imbos,leetspeak,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,bimbos,,,,,bbimbos,repetition,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,bimbos,,,,,bikbos,keyboard_noise,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,bimbos,,,,,bіmboѕ,mixed_script,moderate,2.0,,,,,,,,,,,,
sentence_statistics,,,bimbos,,,,,bimbbos,repetition,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,santorum,,,,,satorum,deletion,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,santorum,,,,,ssantorum,repetition,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,santorum,,,,,5ant0rum,leetspeak,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,santorum,,,,,sanorum,deletion,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,santorum,,,,,santorurm,insertion,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,santorum,,,,,5antorum,leetspeak,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,santorum,,,,,san7orum,leetspeak,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,santorum,,,,,sanyorum,keyboard_noise,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,lovemaking,,,,,lov3m4kin9,leetspeak,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,lovemaking,,,,,lovemak1ng,leetspeak,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,lovemaking,,,,,l*ovemaking,spacing_noise,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,lovemaking,,,,,loveaking,deletion,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,lovemaking,,,,,lov_emaking,spacing_noise,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,lovemaking,,,,,1ovemak1n9,leetspeak,moderate,2.0,,,,,,,,,,,,
sentence_statistics,,,lovemaking,,,,,lоvemаking,mixed_script,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,lovemaking,,,,,lovem4king,leetspeak,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,baby batter,,,,,baby batte,deletion,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,baby batter,,,,,bay batter,deletion,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,baby batter,,,,,bambvy battezr,insertion,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,baby batter,,,,,baby batt3r,leetspeak,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,baby batter,,,,,bab batter,deletion,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,baby batter,,,,,baby bate,deletion,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,baby batter,,,,,baby rbatter,insertion,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,baby batter,,,,,baby baaattqer,repetition+insertion,heavy,2.0,,,,,,,,,,,,
sentence_statistics,,,babeland,,,,,ba83land,leetspeak,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,babeland,,,,,8baeland,leetspeak+keyboard_noise,heavy,2.0,,,,,,,,,,,,
sentence_statistics,,,babeland,,,,,84be1and,leetspeak,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,babeland,,,,,babelandy,insertion,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,babeland,,,,,babelannd,insertion,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,babeland,,,,,babe1andj,insertion+leetspeak,heavy,3.0,,,,,,,,,,,,
sentence_statistics,,,babeland,,,,,babelaynd,insertion,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,babeland,,,,,babela.nd,spacing_noise,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,bitches,,,,,bіtсhes,mixed_script,moderate,2.0,,,,,,,,,,,,
sentence_statistics,,,bitches,,,,,bitchres,insertion,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,bitches,,,,,biches,deletion,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,bitches,,,,,bitc-hes,spacing_noise,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,bitches,,,,,bitcheѕ,mixed_script,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,bitches,,,,,bitces,deletion,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,bitches,,,,,bitсhes,mixed_script,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,bitches,,,,,bbitcchhes,repetition,moderate,2.0,,,,,,,,,,,,
sentence_statistics,,,dingleberry,,,,,dinggleberrry,repetition,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,dingleberry,,,,,dinglebeerry,repetition,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,dingleberry,,,,,dinglee8erry,leetspeak+repetition,heavy,3.0,,,,,,,,,,,,
sentence_statistics,,,dingleberry,,,,,dingleberryb,insertion,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,dingleberry,,,,,ding1eberry,leetspeak,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,dingleberry,,,,,d1ngle8erry,leetspeak,moderate,2.0,,,,,,,,,,,,
sentence_statistics,,,dingleberry,,,,,dinglerry,deletion,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,dingleberry,,,,,dingoleberry,insertion,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,dolcett,,,,,dolcet,deletion,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,dolcett,,,,,dolсеtt,mixed_script,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,dolcett,,,,,dolcety,keyboard_noise,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,dolcett,,,,,do1c3ttz,leetspeak+insertion,heavy,3.0,,,,,,,,,,,,
sentence_statistics,,,dolcett,,,,,dolc37t,leetspeak,moderate,2.0,,,,,,,,,,,,
sentence_statistics,,,dolcett,,,,,dollcett,insertion,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,dolcett,,,,,doclett,keyboard_noise,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,dolcett,,,,,d0lc37t,leetspeak,moderate,2.0,,,,,,,,,,,,
transformation_distribution,,,,,,,,,leetspeak,,,89.0,21.55,,,,,,,,,,
transformation_distribution,,,,,,,,,insertion,,,70.0,16.95,,,,,,,,,,
transformation_distribution,,,,,,,,,deletion,,,69.0,16.71,,,,,,,,,,
transformation_distribution,,,,,,,,,spacing_noise,,,40.0,9.69,,,,,,,,,,
transformation_distribution,,,,,,,,,repetition,,,39.0,9.44,,,,,,,,,,
transformation_distribution,,,,,,,,,keyboard_noise,,,36.0,8.72,,,,,,,,,,
transformation_distribution,,,,,,,,,mixed_script,,,29.0,7.02,,,,,,,,,,
transformation_distribution,,,,,,,,,deletion+leetspeak,,,6.0,1.45,,,,,,,,,,
transformation_distribution,,,,,,,,,leetspeak+insertion,,,5.0,1.21,,,,,,,,,,
transformation_distribution,,,,,,,,,leetspeak+spacing_noise,,,4.0,0.97,,,,,,,,,,
transformation_distribution,,,,,,,,,spacing_noise+keyboard_noise,,,3.0,0.73,,,,,,,,,,
transformation_distribution,,,,,,,,,deletion+spacing_noise,,,3.0,0.73,,,,,,,,,,
transformation_distribution,,,,,,,,,insertion+leetspeak,,,3.0,0.73,,,,,,,,,,
transformation_distribution,,,,,,,,,leetspeak+repetition,,,3.0,0.73,,,,,,,,,,
transformation_distribution,,,,,,,,,spacing_noise+leetspeak,,,2.0,0.48,,,,,,,,,,
transformation_distribution,,,,,,,,,insertion+repetition,,,2.0,0.48,,,,,,,,,,
transformation_distribution,,,,,,,,,deletion+keyboard_noise,,,2.0,0.48,,,,,,,,,,
transformation_distribution,,,,,,,,,leetspeak+mixed_script,,,2.0,0.48,,,,,,,,,,
transformation_distribution,,,,,,,,,repetition+spacing_noise,,,2.0,0.48,,,,,,,,,,
transformation_distribution,,,,,,,,,repetition+insertion,,,2.0,0.48,,,,,,,,,,
transformation_distribution,,,,,,,,,leetspeak+keyboard_noise,,,2.0,0.48,,,,,,,,,,
level_distribution,,,,,,,,,,mild,,244.0,59.08,,,,,,,,,,
level_distribution,,,,,,,,,,moderate,,128.0,30.99,,,,,,,,,,
level_distribution,,,,,,,,,,heavy,,41.0,9.93,,,,,,,,,,
category_distribution,,,,,,,,,,,,,,sarcasm_among_friends,2400.0,63.0,2463.0,,,,,,
category_distribution,,,,,,,,,,,,,,threat,2394.0,58.0,2452.0,,,,,,
category_distribution,,,,,,,,,,,,,,venting_no_target,2388.0,43.0,2431.0,,,,,,
category_distribution,,,,,,,,,,,,,,targeted_insult_identity,2383.0,63.0,2446.0,,,,,,
category_distribution,,,,,,,,,,,,,,targeted_insult_general,2377.0,57.0,2434.0,,,,,,
category_distribution,,,,,,,,,,,,,,meta_commentary_condemning_hate,2377.0,71.0,2448.0,,,,,,
category_distribution,,,,,,,,,,,,,,topic_opinion_negative,2365.0,58.0,2423.0,,,,,,
quality_statistics,duplicate_count,0,,,,,,,,,,,,,,,,,,,,,
quality_statistics,invalid_mutation_count,156,,,,,,,,,,,,,,,,,,,,,
quality_statistics,invalid_mutation:duplicate_mutation,137,,,,,,,,,,,,,,,,,,,,,
quality_statistics,invalid_mutation:transform_not_applicable,13,,,,,,,,,,,,,,,,,,,,,
quality_statistics,invalid_mutation:below_similarity_threshold,4,,,,,,,,,,,,,,,,,,,,,
quality_statistics,invalid_mutation:identical_or_empty,2,,,,,,,,,,,,,,,,,,,,,
quality_statistics,unmatched_source_word_row_count,112,,,,,,,,,,,,,,,,,,,,,
quality_statistics,mutation_shortfall_count,0,,,,,,,,,,,,,,,,,,,,,
quality_statistics,augmented_rows_generated,413,,,,,,,,,,,,,,,,,,,,,
quality_statistics,final_rows,17097,,,,,,,,,,,,,,,,,,,,,
unmatched_rows,,,venus mound,,,,,,,,,,,,,,,Why am I stuck on this #venusmound? Nothing but disappointment and frustrations lately.,source_word_not_found_in_text,,,,
unmatched_rows,,,venus mound,,,,,,,,,,,,,,,The #venusmound is a symbol of the ups and downs I've faced today. Just gotta keep pushing through this frustration.,source_word_not_found_in_text,,,,
unmatched_rows,,,venus mound,,,,,,,,,,,,,,,"Dealing with the pressures of the #venusmound, makes it even more frustrating to see the positive progress of others.",source_word_not_found_in_text,,,,
unmatched_rows,,,venus mound,,,,,,,,,,,,,,,Why does it seem like I'm stuck at this #venusmound forever? My frustrations are reaching their peak.,source_word_not_found_in_text,,,,
unmatched_rows,,,venus mound,,,,,,,,,,,,,,,"I'm so done with this #venusmound. The more I try to move forward, the more my frustrations seem to increase.",source_word_not_found_in_text,,,,
unmatched_rows,,,venus mound,,,,,,,,,,,,,,,Why can't I escape from this #venusmound? My frustrations are taking a toll on my sanity.,source_word_not_found_in_text,,,,
unmatched_rows,,,fellatio,,,,,,,,,,,,,,,You're such a faggot. Can't even keep your mouth shut while sucking someone off.,source_word_not_found_in_text,,,,
unmatched_rows,,,fellatio,,,,,,,,,,,,,,,Jewish people always think they're superior because they're rich. They're just really good at sucking money out of people. Aren't they?,source_word_not_found_in_text,,,,
unmatched_rows,,,fellatio,,,,,,,,,,,,,,,"I bet your mom gives great head, but she would never give you the time of day. Too bad.",source_word_not_found_in_text,,,,
unmatched_rows,,,fellatio,,,,,,,,,,,,,,,The food at this restaurant was beyond disappointing. I felt like I was eating a stale condom.,source_word_not_found_in_text,,,,
unmatched_rows,,,fellatio,,,,,,,,,,,,,,,"Feeling like my life is one big blow job, and I'm the one getting choked on.",source_word_not_found_in_text,,,,
unmatched_rows,,,fellatio,,,,,,,,,,,,,,,Why do I keep feeling like I'm constantly swallowing some nasty blow job?,source_word_not_found_in_text,,,,
unmatched_rows,,,fellatio,,,,,,,,,,,,,,,"I feel like my life is one long, drawn-out blow job that's never gonna end.",source_word_not_found_in_text,,,,
unmatched_rows,,,fellatio,,,,,,,,,,,,,,,"I can't believe another day has come and gone, feeling like I'm just getting another blow job from life.",source_word_not_found_in_text,,,,
unmatched_rows,,,double penetration,,,,,,,,,,,,,,,"You're always trying to double penetrate the situation, aren't you? But hey, I love your spirit! 💙",source_word_not_found_in_text,,,,
unmatched_rows,,,dog style,,,,,,,,,,,,,,,Why does everything seem to be taking forever? Feeling like I'm running at 'dog speed' but getting nowhere...,source_word_not_found_in_text,,,,
unmatched_rows,,,dog style,,,,,,,,,,,,,,,"In the dog-eat-dog world of online comments, it's important to call out hateful behavior and stand up for what's right.",source_word_not_found_in_text,,,,
unmatched_rows,,,dog style,,,,,,,,,,,,,,,Let's address the elephant in the room: online hate in the form of dog-style attacks is unacceptable and needs to be called out.,source_word_not_found_in_text,,,,
unmatched_rows,,,dog style,,,,,,,,,,,,,,,"In the 'dog-eat-dog' world of online discourse, it's crucial to condemn hateful speech and promote respect.",source_word_not_found_in_text,,,,
unmatched_rows,,,dog style,,,,,,,,,,,,,,,Online hate in 'dog-style' attacks is a growing problem that we need to collectively address and put an end to.,source_word_not_found_in_text,,,,
unmatched_rows,,,dog style,,,,,,,,,,,,,,,Let's be clear: 'dog-style' behavior and hateful rhetoric have no place in any civilized conversation.,source_word_not_found_in_text,,,,
unmatched_rows,,,dog style,,,,,,,,,,,,,,,"The 'dog-eat-dog' world of online discourse must not be a platform for hateful behavior, we need to call out the bullies.",source_word_not_found_in_text,,,,
unmatched_rows,,,butt,,,,,,,,,,,,,,,"""Why do you play that stupid game anyway?""",source_word_not_found_in_text,,,,
unmatched_rows,,,butt,,,,,,,,,,,,,,,"I'm having a terrible day at work, but I can't complain because at least I have a job.",source_word_not_found_in_text,,,,
unmatched_rows,,,butt,,,,,,,,,,,,,,,"It's pouring rain outside, but it's just an excuse for me to stay in and binge-watch Netflix.",source_word_not_found_in_text,,,,
unmatched_rows,,,butt,,,,,,,,,,,,,,,"My car broke down again, but I'm trying to keep my cool and deal with it one step at a time.",source_word_not_found_in_text,,,,
unmatched_rows,,,butt,,,,,,,,,,,,,,,"I can't believe I forgot my wallet again, but hey, I guess I got a free workout walking home.",source_word_not_found_in_text,,,,
unmatched_rows,,,butt,,,,,,,,,,,,,,,"I can't believe how bad I feel right now, but at least my favorite show is on tonight.",source_word_not_found_in_text,,,,
unmatched_rows,,,butt,,,,,,,,,,,,,,,"My boss was an absolute nightmare today, but at least the weather is nice outside and I can go for a run.",source_word_not_found_in_text,,,,
unmatched_rows,,,urophilia,,,,,,,,,,,,,,,You're just an urophile trying to fit in with the rest of us.,source_word_not_found_in_text,,,,
unmatched_rows,,,blow your load,,,,,,,,,,,,,,,"Wow, you must be so proud of yourself after blowing your load at that last job interview. Everyone else was better than you.",source_word_not_found_in_text,,,,
unmatched_rows,,,blow your load,,,,,,,,,,,,,,,I can't believe you think you're so cool because you blew your load in front of the whole class. You're nothing but a joke.,source_word_not_found_in_text,,,,
unmatched_rows,,,blow your load,,,,,,,,,,,,,,,You really outdid yourself by blowing your load in that presentation. Everyone else must be so ashamed to be associated with you.,source_word_not_found_in_text,,,,
